building_id,building_name,building_short_name,source_building_label,meter_name,meter_group,month,usage_kwh,tariff_cny_per_kwh,source_row,evidence_type
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2024-09,3094.48111504039,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2024-09,2744.1624982433646,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2024-10,1323.721937648274,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2024-10,1040.0672367236436,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2024-10,143.03683758288378,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2024-10,126.8439880451988,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2024-11,22267.83105962417,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2024-11,17496.15297541899,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2024-11,5720.430961427123,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2024-11,5072.835003529713,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2024-12,13059.053674359704,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2024-12,10260.685029854052,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2024-12,4849.516586766708,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2024-12,4300.514709019534,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2025-01,9093.372105978902,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2025-01,7144.792368983423,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2025-01,2832.805228269969,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2025-01,2512.110296767708,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2025-02,10129.202280760492,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2025-02,7958.658934883243,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2025-02,3301.7774557088223,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2025-02,2927.9913286474457,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2025-03,10890.824993636425,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2025-03,8557.076780714333,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2025-03,3710.9795595940986,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2025-03,3290.868666055144,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2025-04,10292.85982370817,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2025-04,8087.247004342133,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2025-04,3355.1242811333395,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2025-04,2975.298890816357,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2025-05,10523.239865763995,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2025-05,8268.259894528852,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2025-05,4420.783127044791,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2025-05,3920.317112662362,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2025-06,8953.686158075696,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2025-06,7035.039124202332,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2025-06,4738.9021003926455,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2025-06,4202.422617329327,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
